Execution with redundancy: 0, threshold: 0
Map reduce execution time: 163.918

host: 	Node0		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node42		 idle_time: 		35.319599		 performance_value: 		50.000000
host: 	Node43		 idle_time: 		43.303964		 performance_value: 		50.000000
host: 	Node44		 idle_time: 		50.860131		 performance_value: 		50.000000
host: 	Node45		 idle_time: 		8.659724		 performance_value: 		50.000000
host: 	Node46		 idle_time: 		29.265017		 performance_value: 		50.000000
host: 	Node47		 idle_time: 		45.538168		 performance_value: 		50.000000
host: 	Node48		 idle_time: 		1.191735		 performance_value: 		no_responses

idle_time_mean: 20.6856

# no_responses: 18




Execution with redundancy: 1, threshold: 0
Map reduce execution time: 200.651

host: 	Node0		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node1		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node2		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node3		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node4		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node5		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node6		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node7		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node8		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node9		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node10		 idle_time: 		0.194655		 performance_value: 		no_responses
host: 	Node11		 idle_time: 		1.673840		 performance_value: 		50.000000
host: 	Node12		 idle_time: 		72.999465		 performance_value: 		50.000000
host: 	Node13		 idle_time: 		75.046753		 performance_value: 		50.000000
host: 	Node14		 idle_time: 		16.774779		 performance_value: 		50.000000
host: 	Node15		 idle_time: 		1.229909		 performance_value: 		50.000000
host: 	Node16		 idle_time: 		0.246526		 performance_value: 		no_responses
host: 	Node17		 idle_time: 		46.775118		 performance_value: 		50.000000
host: 	Node18		 idle_time: 		0.291914		 performance_value: 		no_responses
host: 	Node19		 idle_time: 		2.618926		 performance_value: 		50.000000
host: 	Node20		 idle_time: 		31.621694		 performance_value: 		50.000000
host: 	Node21		 idle_time: 		41.054142		 performance_value: 		50.000000
host: 	Node22		 idle_time: 		15.423614		 performance_value: 		50.000000
host: 	Node23		 idle_time: 		31.175491		 performance_value: 		50.000000
host: 	Node24		 idle_time: 		2.459869		 performance_value: 		50.000000
host: 	Node25		 idle_time: 		39.412083		 performance_value: 		50.000000
host: 	Node26		 idle_time: 		0.363237		 performance_value: 		no_responses
host: 	Node27		 idle_time: 		40.590351		 performance_value: 		50.000000
host: 	Node28		 idle_time: 		40.721557		 performance_value: 		50.000000
host: 	Node29		 idle_time: 		0.402153		 performance_value: 		no_responses
host: 	Node30		 idle_time: 		50.310258		 performance_value: 		50.000000
host: 	Node31		 idle_time: 		0.434584		 performance_value: 		no_responses
host: 	Node32		 idle_time: 		27.296618		 performance_value: 		50.000000
host: 	Node33		 idle_time: 		46.678921		 performance_value: 		50.000000
host: 	Node34		 idle_time: 		31.843817		 performance_value: 		50.000000
host: 	Node35		 idle_time: 		0.460530		 performance_value: 		no_responses
host: 	Node36		 idle_time: 		40.544699		 performance_value: 		50.000000
host: 	Node37		 idle_time: 		9.065489		 performance_value: 		50.000000
host: 	Node38		 idle_time: 		49.914878		 performance_value: 		50.000000
host: 	Node39		 idle_time: 		1.248557		 performance_value: 		50.000000
host: 	Node40		 idle_time: 		2.007869		 performance_value: 		50.000000
host: 	Node41		 idle_time: 		41.293165		 performance_value: 		50.000000
host: 	Node42		 idle_time: 		8.406287		 performance_value: 		50.000000
host: 	Node43		 idle_time: 		40.850239		 performance_value: 		50.000000
host: 	Node44		 idle_time: 		34.261892		 performance_value: 		50.000000
host: 	Node45		 idle_time: 		2.366434		 performance_value: 		50.000000
host: 	Node46		 idle_time: 		26.163367		 performance_value: 		50.000000
host: 	Node47		 idle_time: 		73.160940		 performance_value: 		50.000000
host: 	Node48		 idle_time: 		0.648633		 performance_value: 		no_responses

idle_time_mean: 19.4803

# no_responses: 18




Execution with redundancy: 1, threshold: 1
Map reduce execution time: 187.727

host: 	Node0		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node1		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node2		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node3		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node4		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node5		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node6		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node7		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node8		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node9		 idle_time: 		100.000000		 performance_value: 		no_responses
host: 	Node10		 idle_time: 		0.208055		 performance_value: 		no_responses
host: 	Node11		 idle_time: 		1.334697		 performance_value: 		50.000000
host: 	Node12		 idle_time: 		42.145094		 performance_value: 		50.000000
host: 	Node13		 idle_time: 		46.435641		 performance_value: 		50.000000
host: 	Node14		 idle_time: 		14.819860		 performance_value: 		50.000000
host: 	Node15		 idle_time: 		0.935924		 performance_value: 		50.000000
host: 	Node16		 idle_time: 		0.263497		 performance_value: 		no_responses
host: 	Node17		 idle_time: 		36.198353		 performance_value: 		50.000000
host: 	Node18		 idle_time: 		0.312009		 performance_value: 		no_responses
host: 	Node19		 idle_time: 		21.239739		 performance_value: 		50.000000
host: 	Node20		 idle_time: 		5.830823		 performance_value: 		50.000000
host: 	Node21		 idle_time: 		15.699841		 performance_value: 		50.000000
host: 	Node22		 idle_time: 		9.719113		 performance_value: 		50.000000
host: 	Node23		 idle_time: 		26.511318		 performance_value: 		50.000000
host: 	Node24		 idle_time: 		21.000429		 performance_value: 		50.000000
host: 	Node25		 idle_time: 		13.760238		 performance_value: 		50.000000
host: 	Node26		 idle_time: 		0.388242		 performance_value: 		no_responses
host: 	Node27		 idle_time: 		36.275601		 performance_value: 		50.000000
host: 	Node28		 idle_time: 		15.365135		 performance_value: 		50.000000
host: 	Node29		 idle_time: 		0.429837		 performance_value: 		no_responses
host: 	Node30		 idle_time: 		46.889580		 performance_value: 		50.000000
host: 	Node31		 idle_time: 		0.464501		 performance_value: 		no_responses
host: 	Node32		 idle_time: 		22.291664		 performance_value: 		50.000000
host: 	Node33		 idle_time: 		46.782625		 performance_value: 		50.000000
host: 	Node34		 idle_time: 		27.108665		 performance_value: 		50.000000
host: 	Node35		 idle_time: 		0.492233		 performance_value: 		no_responses
host: 	Node36		 idle_time: 		36.920091		 performance_value: 		50.000000
host: 	Node37		 idle_time: 		27.067403		 performance_value: 		50.000000
host: 	Node38		 idle_time: 		25.145449		 performance_value: 		50.000000
host: 	Node39		 idle_time: 		0.554629		 performance_value: 		no_responses
host: 	Node40		 idle_time: 		1.767438		 performance_value: 		50.000000
host: 	Node41		 idle_time: 		16.020304		 performance_value: 		50.000000
host: 	Node42		 idle_time: 		27.068386		 performance_value: 		50.000000
host: 	Node43		 idle_time: 		15.668412		 performance_value: 		50.000000
host: 	Node44		 idle_time: 		29.497196		 performance_value: 		50.000000
host: 	Node45		 idle_time: 		2.150688		 performance_value: 		50.000000
host: 	Node46		 idle_time: 		20.448098		 performance_value: 		50.000000
host: 	Node47		 idle_time: 		42.422134		 performance_value: 		50.000000
host: 	Node48		 idle_time: 		0.693286		 performance_value: 		no_responses

idle_time_mean: 16.9833

# no_responses: 19




